Model unknown

  Variables:
    FeedTemp : Size=31, Index=Time
        Key      : Lower : Value               : Upper : Fixed : Stale : Domain
               0 :  None : -173.94432718550902 :  None : False : False :  Reals
        0.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        0.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             1.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        1.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        1.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             2.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        2.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        2.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             3.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        3.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        3.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             4.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        4.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        4.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             5.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        5.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        5.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             6.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        6.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        6.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             7.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        7.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        7.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             8.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        8.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        8.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             9.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        9.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        9.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
              10 :  None : -173.94432718550902 :  None : False : False :  Reals
    FeedLiqMFrac : Size=62, Index=FeedLiqMFrac_index
        Key                    : Lower : Value               : Upper : Fixed : Stale : Domain
               (0, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
                 (0, 'Oxygen') :     0 : 0.35215044954361546 :     1 : False : False :  Reals
        (0.155051, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
          (0.155051, 'Oxygen') :     0 : 0.35215044954361546 :     1 : False : False :  Reals
        (0.644949, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
          (0.644949, 'Oxygen') :     0 : 0.35215044954361546 :     1 : False : False :  Reals
             (1.0, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
               (1.0, 'Oxygen') :     0 : 0.35215044954361546 :     1 : False : False :  Reals
        (1.155051, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
          (1.155051, 'Oxygen') :     0 : 0.35215044954361546 :     1 : False : False :  Reals
        (1.644949, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
          (1.644949, 'Oxygen') :     0 : 0.35215044954361546 :     1 : False : False :  Reals
             (2.0, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
               (2.0, 'Oxygen') :     0 : 0.35215044954361546 :     1 : False : False :  Reals
        (2.155051, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
          (2.155051, 'Oxygen') :     0 : 0.35215044954361546 :     1 : False : False :  Reals
        (2.644949, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
          (2.644949, 'Oxygen') :     0 : 0.35215044954361546 :     1 : False : False :  Reals
             (3.0, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
               (3.0, 'Oxygen') :     0 : 0.35215044954361546 :     1 : False : False :  Reals
        (3.155051, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
          (3.155051, 'Oxygen') :     0 : 0.35215044954361546 :     1 : False : False :  Reals
        (3.644949, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
          (3.644949, 'Oxygen') :     0 : 0.35215044954361546 :     1 : False : False :  Reals
             (4.0, 'Nitrogen') :     0 :  0.6478495504563845 :     1 : False : False :  Reals
